#,phrase,&, total freq,&,word1,&,freq1,&,word2,&,freq2,&,word3,&,freq3,&,word4,&,freq4, \\ \hline
198, et nice cold hour ,&,322096,&, et ,&,6731,&, nice ,&,190708,&, cold ,&,52844,&, hour ,&,71813, \\ \hline
238, o' nice cold hour ,&,315828,&, o' ,&,463,&, nice ,&,190708,&, cold ,&,52844,&, hour ,&,71813, \\ \hline
82, ah ne scold hour ,&,308429,&, ah ,&,229296,&, ne ,&,7103,&, scold ,&,217,&, hour ,&,71813, \\ \hline
78, ah knee scold hour ,&,307465,&, ah ,&,229296,&, knee ,&,6139,&, scold ,&,217,&, hour ,&,71813, \\ \hline
102, ah nigh scold hour ,&,302720,&, ah ,&,229296,&, nigh ,&,1394,&, scold ,&,217,&, hour ,&,71813, \\ \hline
106, ah nye scold hour ,&,301363,&, ah ,&,229296,&, nye ,&,37,&, scold ,&,217,&, hour ,&,71813, \\ \hline
156, eh nice coal dour ,&,278238,&, eh ,&,66963,&, nice ,&,190708,&, coal ,&,20448,&, dour ,&,119, \\ \hline
157, eh nice coal dower ,&,278211,&, eh ,&,66963,&, nice ,&,190708,&, coal ,&,20448,&, dower ,&,92, \\ \hline
160, eh nice cole dour ,&,259863,&, eh ,&,66963,&, nice ,&,190708,&, cole ,&,2073,&, dour ,&,119, \\ \hline
161, eh nice cole dower ,&,259836,&, eh ,&,66963,&, nice ,&,190708,&, cole ,&,2073,&, dower ,&,92, \\ \hline
162, eh nice kohl dour ,&,258702,&, eh ,&,66963,&, nice ,&,190708,&, kohl ,&,912,&, dour ,&,119, \\ \hline
163, eh nice kohl dower ,&,258675,&, eh ,&,66963,&, nice ,&,190708,&, kohl ,&,912,&, dower ,&,92, \\ \hline
94, ah niece coal dour ,&,251556,&, ah ,&,229296,&, niece ,&,1693,&, coal ,&,20448,&, dour ,&,119, \\ \hline
95, ah niece coal dower ,&,251529,&, ah ,&,229296,&, niece ,&,1693,&, coal ,&,20448,&, dower ,&,92, \\ \hline
70, ah gneiss coal dour ,&,249884,&, ah ,&,229296,&, gneiss ,&,21,&, coal ,&,20448,&, dour ,&,119, \\ \hline
71, ah gneiss coal dower ,&,249857,&, ah ,&,229296,&, gneiss ,&,21,&, coal ,&,20448,&, dower ,&,92, \\ \hline
84, ah ne skol dour ,&,236523,&, ah ,&,229296,&, ne ,&,7103,&, skol ,&,5,&, dour ,&,119, \\ \hline
85, ah ne skol dower ,&,236496,&, ah ,&,229296,&, ne ,&,7103,&, skol ,&,5,&, dower ,&,92, \\ \hline
80, ah knee skol dour ,&,235559,&, ah ,&,229296,&, knee ,&,6139,&, skol ,&,5,&, dour ,&,119, \\ \hline
81, ah knee skol dower ,&,235532,&, ah ,&,229296,&, knee ,&,6139,&, skol ,&,5,&, dower ,&,92, \\ \hline
98, ah niece cole dour ,&,233181,&, ah ,&,229296,&, niece ,&,1693,&, cole ,&,2073,&, dour ,&,119, \\ \hline
